,subj,trial,choice,roi,rt,upleftval,uprightval,downleftval,downrightval,fixdur,fixnum,revfixnum
5081,27,168,0,1,1841.2,226,294,134,37,19.51,1,4
5091,27,168,0,4,1841.2,226,294,134,37,151,2,3
5102,27,168,0,1,1841.2,226,294,134,37,61,3,2
5111,27,168,0,2,1841.2,226,294,134,37,42.9,4,1
5242,27,173,0,4,1196.1,130,142,95,77,256.55,1,2
5253,27,173,0,2,1196.1,130,142,95,77,70,2,1
5283,27,176,0,2,1230.8,207,271,187,5,114.98,1,1
5365,27,179,1,1,1533,205,150,38,145,446.78,1,2
5375,27,179,1,2,1533,205,150,38,145,195.7,2,1
5501,27,186,1,1,6288.5,279,252,84,217,192.8,1,7
5512,27,186,1,3,6288.5,279,252,84,217,185.95,2,6
5522,27,186,1,1,6288.5,279,252,84,217,7,3,5
5531,27,186,1,2,6288.5,279,252,84,217,168.9,4,4
554,27,186,1,1,6288.5,279,252,84,217,301.1,5,3
5551,27,186,1,2,6288.5,279,252,84,217,223.8,6,2
5562,27,186,1,1,6288.5,279,252,84,217,627.5,7,1
5622,27,188,1,1,1427.7,229,239,144,32,183.01,1,3
5633,27,188,1,2,1427.7,229,239,144,32,447.04,2,2
5643,27,188,1,1,1427.7,229,239,144,32,220.6,3,1
5653,27,189,0,2,1664.3,267,205,12,202,190.95,1,3
5662,27,189,0,1,1664.3,267,205,12,202,27.88,2,2
5671,27,189,0,2,1664.3,267,205,12,202,265.7,3,1
5705,27,191,0,2,1331.3,220,276,191,42,8.9,1,1
5743,27,195,1,1,4157.9,250,270,199,132,277.99,1,6
5752,27,195,1,2,4157.9,250,270,199,132,698,2,5
5762,27,195,1,1,4157.9,250,270,199,132,28.9,3,4
5773,27,195,1,3,4157.9,250,270,199,132,224.1,4,3
5784,27,195,1,1,4157.9,250,270,199,132,259.2,5,2
5793,27,195,1,2,4157.9,250,270,199,132,821.5,6,1
5802,27,196,0,2,7764.6,200,235,155,50,36.8,1,6
5812,27,196,0,3,7764.6,200,235,155,50,97.9,2,5
5822,27,196,0,1,7764.6,200,235,155,50,123,3,4
5831,27,196,0,2,7764.6,200,235,155,50,1379,4,3
5843,27,196,0,4,7764.6,200,235,155,50,147,5,2
5852,27,196,0,2,7764.6,200,235,155,50,2762.9,6,1
5961,27,200,1,2,1687,255,275,250,27,354.81,1,1
2310,28,10,0,2,2748.5,239,229,32,144,131.93,1,5
2410,28,10,0,1,2748.5,239,229,32,144,3,2,4
2514,28,10,0,3,2748.5,239,229,32,144,62,3,3
2610,28,10,0,4,2748.5,239,229,32,144,185.1,4,2
2710,28,10,0,2,2748.5,239,229,32,144,1237,5,1
3214,28,13,1,1,1149.4,250,193,51,168,23.6,1,1
3317,28,14,1,2,1205.4,294,279,189,269,98.77,1,3
3414,28,14,1,3,1205.4,294,279,189,269,282.98,2,2
3515,28,14,1,2,1205.4,294,279,189,269,177.1,3,1
4215,28,19,0,1,1259.1,250,280,212,49,219.91,1,4
4315,28,19,0,2,1259.1,250,280,212,49,383.85,2,3
