"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",80,40,0.5,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-3.98044066693667,1387,3291
"2",60,36,0.6,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.03844066693667,838,1349
"3",80,32,0.4,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-1.36544066693667,350,676
"4",100,50,0.5,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-1.16744066693667,0,478
"5",10,6,0.6,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,2.58044066693667,765,1891
"6",20,6,0.3,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-4.04944066693667,2056,3360
"7",10,8,0.8,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-3.74844066693667,1271,3059
"8",40,36,0.9,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-1.44844066693667,447,759
"9",20,8,0.4,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.71444066693667,682,2025
"10",50,45,0.9,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.34444066693667,464,1655
