"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",500,100,0.5,0.6,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.02998245616667,0,110
"2",400,100,0.8,0.9,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.31898245616667,0,399
"3",500,200,0.6,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-2.52798245616667,1100,1608
"4",500,200,0.6,0.9,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.68098245616667,116,761
"5",500,100,0.8,0.9,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.82098245616667,901,901
"6",300,100,0.8,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.15498245616667,0,235
"7",400,100,0.5,0.8,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.51898245616667,340,599
"8",500,200,0.7,0.8,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-1.49998245616667,500,580
"9",500,100,0.5,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-1.88798245616667,712,968
"10",500,300,0.9,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.69598245616667,0,776
"11",400,100,0.7,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-2.55698245616667,451,1637
"12",500,200,0.4,0.5,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-2.21098245616667,447,1291
