"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",80,40,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-4.15037374278667,1539,3443
"2",60,36,0.6,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-1.61037374278667,409,903
"3",80,32,0.4,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-4.62437374278667,2243,3917
"4",100,50,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-3.93037374278667,752,3223
"5",10,6,0.6,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,6.05537374278667,2704,5348
"6",20,6,0.3,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-6.14237374278667,3181,5435
"7",10,8,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-4.29637374278667,1440,3589
"8",40,36,0.9,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-2.25737374278667,450,1550
"9",20,8,0.4,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-6.71337374278667,2616,6006
"10",50,45,0.9,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,5.96537374278667,2510,5258
"11",70,21,0.3,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-4.11237374278667,1995,3405
"12",100,70,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-3.22637374278667,1743,2519
"13",60,30,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-8.15237374278667,3136,7445
"14",10,7,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-14.6373737427867,5992,13930
"15",60,48,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-11.5643737427867,6100,10857
"16",100,90,0.9,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-7.64537374278667,4328,6938
"17",80,72,0.9,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-8.09837374278667,2837,7391
"18",80,64,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-7.44937374278667,3898,6742
"19",60,54,0.9,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-7.69737374278667,5394,6990
"20",70,49,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-2.52337374278667,600,1816
"21",90,45,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-4.20437374278667,2300,3497
"22",30,9,0.3,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-6.75737374278667,2224,6050
"23",40,24,0.6,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-16.9803737427867,8369,16273
"24",40,32,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-11.3913737427867,6080,10684
"25",80,48,0.6,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-4.10037374278667,1976,3393
"26",40,20,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-6.07537374278667,2950,5368
"27",30,12,0.4,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-17.8303737427867,9255,17123
"28",70,42,0.6,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-11.0813737427867,5554,10374
"29",30,21,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-5.59237374278667,2685,4885
"30",100,30,0.3,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,6.28437374278667,1074,5577
"31",20,14,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-15.0773737427867,8650,14370
"32",20,16,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-8.66337374278667,3594,7956
"33",90,72,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-4.71337374278667,1172,4006
"34",40,12,0.3,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-6.61137374278667,2562,5904
"35",30,27,0.9,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-13.9343737427867,6787,13227
"36",50,40,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-4.86137374278667,1754,4154
"37",10,3,0.3,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-8.59037374278667,4269,7883
"38",40,28,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-5.01937374278667,3232,4312
"39",90,63,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-6.45137374278667,2800,5744
"40",50,25,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-9.21237374278667,4971,8505
"41",70,28,0.4,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-3.51637374278667,418,2809
"42",10,5,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-20.2403737427867,6252,19533
"43",80,56,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-6.60737374278667,2526,5900
"44",30,18,0.6,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,3.74737374278667,1568,3040
"45",100,80,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-5.31437374278667,2579,4607
"46",70,35,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-5.22837374278667,1611,4521
"47",50,35,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-3.63337374278667,868,2926
"48",30,15,0.5,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-10.3433737427867,2332,9636
"49",70,56,0.8,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-6.23537374278667,2580,5528
"50",60,42,0.7,1,1,0.0410872843007667,0.6304797246104,0.313189572773333,0.707373742786667,0.160059488746667,0.74270918191,-12.4713737427867,5124,11764
