"","val_A1","val_B1","val_A2","val_B2","subj_idx","drift","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",177.1271,252,293,209,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,5.75939806076333,2680.98,5496
"2",216.7874,127,58,117,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.51339806076333,1497.7,2250
"3",30.9468,99,240,85,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.53739806076333,640,1274
"4",37.6023,76,299,171,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.19639806076333,625,933
"5",110,169,296.8188,231,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.23639806076333,720.74,1973
"6",248,196,165.38,212,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.42539806076333,1000.74,2162
"7",131,233,293,171.7137,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.13839806076333,812.19,1875
"8",77,117,219,174.1721,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.67039806076333,724.03,1407
"9",136,171,266.422,227,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.63239806076333,1731.85,3369
"10",92,214,289,142.6763,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.46239806076333,198.83,1199
"11",230,182,116,152.6308,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.96939806076333,601.74,2706
"12",166,200.8649,281,234,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.95339806076333,1076.49,1690
"13",265,147,35,70.1675,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.79739806076333,674.12,1534
"14",245,189,90.0296,136,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.95239806076333,2060.68,4689
"15",183.3187,123,72,108,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.94439806076333,619.55,1681
"16",271,200,155,217.342,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.62439806076333,1034.58,2361
"17",193,135,39.804,103,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.62239806076333,1114.24,2359
"18",284,83,43.5115,175,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.60939806076333,639.82,1346
"19",205,130,71,112.2706,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.25339806076333,1333.3,1990
"20",93,190,283.1057,178,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.72239806076333,772.74,2459
"21",123,77,35,73.3212,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.93039806076333,2712.2,4667
"22",75,156,255.7032,170,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.82039806076333,267.2,1557
"23",256,149,48,142.2412,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.89139806076333,1999.11,2628
"24",35,73.0301,266,201,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.11739806076333,953.67,1854
"25",268,151,86,134.4648,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.03839806076333,683.65,1775
"26",39,139,260,115.7281,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.21039806076333,641.72,1947
"27",132,180,259.7662,202,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.93239806076333,2546.04,4669
"28",278,181,41,73.5685,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.33739806076333,1007.72,2074
"29",264,140.3555,72,136,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.97839806076333,973.68,1715
"30",107,141.9429,251,218,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.65939806076333,380.38,1396
"31",32,64.6739,228,147,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.59839806076333,1823.78,4335
"32",299,226,151.3367,212,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.83539806076333,1443.87,3572
"33",162,125,82,117.2733,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.38639806076333,1305,2123
"34",32.1509,123,259,124,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.92739806076333,927.9,1664
"35",296,154,64.0059,169,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.38039806076333,827.01,2117
"36",36,113,283,132.0805,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.62739806076333,403.93,1364
"37",257,150,40,71.5927,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.22539806076333,745.95,962
"38",277.1856,210,87,124,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.14039806076333,1716.38,2877
"39",72,113.8685,268,182,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.19739806076333,660.02,934
"40",90,204,261.3522,128,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.02439806076333,587.97,1761
"41",123,186,258.0234,178,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.28139806076333,352.85,1018
"42",162,107,76.7358,121,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.75539806076333,1527.5,2492
"43",124,183,240,172.5334,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.62239806076333,732,1359
"44",128,223,283,163.746,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.78539806076333,928.17,1522
"45",242.5782,165,113,176,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.24339806076333,633.28,2980
"46",107.9837,239,295,143,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.82339806076333,524.08,1560
"47",265,210.4749,143,184,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.86639806076333,1218.08,1603
"48",117.1301,201,240,150,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.98839806076333,490.01,1725
"49",42.7407,96,196,93,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.21539806076333,454.66,952
"50",97,147,273.8797,184,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.47539806076333,708.09,1212
"51",272,222.0767,54,86,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.40939806076333,811.69,2146
"52",69,118,166.4624,104,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.03139806076333,1541.18,3768
"53",35.9532,86,205,101,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.35039806076333,1012.34,2087
"54",47,139.3325,284,102,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.71439806076333,874.13,2451
"55",32,132.4739,243,107,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.29939806076333,878.5,2036
"56",47.2593,94,210,122,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.77139806076333,2772.06,4508
"57",162,232,281.0036,198,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,6.87939806076333,4334.93,6616
"58",79.7064,179,256,150,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.59839806076333,1774.19,3335
"59",72.1965,132,290,200,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.28039806076333,2197.93,4017
"60",85,146,255,182.346,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.63139806076333,2144.63,2368
"61",128,230,293,171.025,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,-1.38639806076333,0,1123
"62",90,154,206,121.9186,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.42739806076333,1475.99,3164
"63",92.1644,156,261,172,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.23539806076333,1668.39,2972
"64",163,202,267,233.3841,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.22439806076333,444.23,961
"65",282.2638,148,79,177,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.91139806076333,643.89,2648
"66",47,90.2205,283,188,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.39139806076333,1492.9,3128
"67",208,104,38,77.6151,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.66839806076333,906.67,2405
"68",191,148,52,100.5618,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.27539806076333,943.9,2012
"69",236,150.5413,87,155,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.50639806076333,1337.86,2243
"70",234,153,92.8337,164,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.90539806076333,815.94,1642
"71",269.3988,115,59,139,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.46039806076333,575.62,1197
"72",47,159.5854,243,87,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,5.00139806076333,2610.54,4738
"73",263.4748,181,143,212,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.83439806076333,962.65,1571
"74",298,181,117.7073,179,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.27239806076333,832.190000000001,2009
"75",85,142,257,181.5777,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.32339806076333,1173.72,2060
"76",123.1652,158,276,229,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.85439806076333,978,2591
"77",286,194.2197,147,232,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.72939806076333,867.74,1466
"78",128,77.3563,30,62,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.88239806076333,1797.69,4619
"79",74,135.1494,291,197,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.19939806076333,783.96,936
"80",46,131.0204,286,150,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.30439806076333,457.1,1041
"81",170,205,262,217.4678,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.22439806076333,452.6,961
"82",261,162,80.4982,131,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.52639806076333,1132.08,4263
"83",279,125,72.4665,186,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.63239806076333,1074.85,2369
"84",216,165,133.2518,181,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.21139806076333,1174.95,2948
"85",238,179.7826,86,139,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.83539806076333,1481.62,2572
"86",250,204,152,189.8031,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.11739806076333,131.73,1854
"87",265,123,33.5172,132,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,0.979398060763333,596.18,716
"88",67,197.2434,299,114,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,0.998398060763333,131.9,735
"89",40,117.0609,289,177,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.28839806076333,386.98,1025
"90",50,141,267,111.5508,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.65839806076333,264.94,1395
"91",56,104.8042,238,148,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.90239806076333,777.84,1639
"92",233,189.0146,154,190,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.15339806076333,1297.3,2890
"93",88,130.8132,229,166,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,5.58939806076333,2628.07,5326
"94",33.2771,97,274,122,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.23239806076333,792.9,1969
"95",96.2042,171,238,157,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.60339806076333,1140.29,2340
"96",189,102.1685,66,130,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.48039806076333,698.2,1217
"97",76,142,227.2887,135,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.62239806076333,1062.55,2359
"98",46,183,289,92.6492,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.45039806076333,1496.8,3187
"99",227,144,67,112.6158,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.76039806076333,1065.2,1497
"100",124,182,277.912,199,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.61839806076333,1141.27,2355
"101",160,192,276.708,237,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.64839806076333,1018.413,2385
"102",46.3955,124,214,105,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.80139806076333,648.25,1538
"103",279,195,78,123.5882,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.26739806076333,898.09,2004
"104",79,112,184.1219,141,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.10239806076333,883.610000000001,1839
"105",216.5706,97,57,163,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.27039806076333,1147.85,2007
"106",260,92.3709,43,210,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.41839806076333,1540.46,3155
"107",120,167,224,173.8065,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.05939806076333,866.18,1796
"108",247,181.9277,89,123,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.34539806076333,1912.65,4082
"109",257,191.3091,52,119,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.83839806076333,1852.18,3575
"110",77,108.2796,242,211,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.09739806076333,642.94,834
"111",201.4052,106,44,105,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.16139806076333,1802.2,2898
"112",284,206,140.4468,197,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.73839806076333,1386.973,2475
"113",246,203.654,124,156,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.95639806076333,1634.82,2693
"114",107,196.6513,237,148,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.33739806076333,556.08,1074
