"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",80,40,0.5,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-11.1054406669367,4720,10416
"2",60,36,0.6,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-14.2024406669367,4744,13513
"3",80,32,0.4,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-4.94444066693667,2295,4255
"4",100,50,0.5,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.39744066693667,87.9999999999998,1708
"5",10,6,0.6,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,4.72744066693667,2694,4038
"6",20,6,0.3,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-3.11144066693667,1118,2422
"7",10,8,0.8,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,14.0184406669367,5378,13329
"8",40,36,0.9,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.86344066693667,450,2174
"9",20,8,0.4,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.83444066693667,682,2145
"10",50,45,0.9,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-5.93644066693667,2510,5247
"11",70,21,0.3,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-9.40744066693667,5692,8718
"12",100,70,0.7,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-4.90244066693667,2174,4213
"13",60,30,0.5,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.52944066693667,846,1840
"14",10,7,0.7,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,4.47044066693667,472,3781
"15",60,48,0.8,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-7.39844066693667,4420,6709
"16",100,90,0.9,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-3.00344066693667,948,2314
"17",80,72,0.9,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-8.57144066693667,3328,7882
"18",80,64,0.8,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.84244066693667,1430,2153
"19",60,54,0.9,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-7.18844066693667,5103,6499
"20",70,49,0.7,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-10.1294406669367,5012,9440
"21",90,45,0.5,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-5.00944066693667,2548,4320
"22",30,9,0.3,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,16.7024406669367,5854,16013
"23",40,24,0.6,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-12.7274406669367,5094,12038
"24",40,32,0.8,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-9.64144066693667,4900,8952
"25",80,48,0.6,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-4.79444066693667,1989,4105
"26",40,20,0.5,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-8.12344066693667,4224,7434
"27",30,12,0.4,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-10.5074406669367,5970,9818
"28",70,42,0.6,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-5.32944066693667,3206,4640
"29",30,21,0.7,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-3.29444066693667,1081,2605
"30",100,30,0.3,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-9.80844066693667,3045,9119
"31",20,14,0.7,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-6.78544066693667,4068,6096
"32",20,16,0.8,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-2.03644066693667,811,1347
"33",90,72,0.8,1,1,0.0393096801768333,0.6504725741569,0.309424050726667,0.689440666936667,0.505536921466667,0.173444103853333,0.768609744173333,-1.64744066693667,208,958
