"","val_A1","val_B1","val_A2","val_B2","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"29",264,140.3555,72,136,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,0.7069434736,436,436
"30",107,141.9429,251,218,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.5989434736,380.38,1328
"31",32,64.6739,228,147,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.9129434736,524.75,1642
"32",299,226,151.3367,212,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,0.7519434736,481,481
"33",162,125,82,117.2733,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.6049434736,1032,1334
"34",32.1509,123,259,124,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.3909434736,410.45,1120
"35",296,154,64.0059,169,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.6419434736,1081.01,2371
"36",36,113,283,132.0805,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.2219434736,622.13,1951
"37",257,150,40,71.5927,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.1709434736,683.95,900
"38",277.1856,210,87,124,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,3.8919434736,2052.38,3621
"39",72,113.8685,268,182,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,0.6879434736,417,417
"40",90,204,261.3522,128,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.6669434736,899.07,2396
"41",123,186,258.0234,178,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,0.9999434736,352.85,729
"42",162,107,76.7358,121,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.1409434736,1052.26,1870
"43",124,183,240,172.5334,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.6579434736,1456.2,2387
"44",128,223,283,163.746,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.4589434736,928.17,1188
"45",242.5782,165,113,176,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.4999434736,439.84,1229
