"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",80,40,0.5,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-6.40756255395667,2634,5660
"2",60,36,0.6,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-2.80956255395667,838,2062
"3",80,32,0.4,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-5.61056255395667,2898,4863
"4",100,50,0.5,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-2.06356255395667,0,1316
"5",10,6,0.6,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-5.48156255395667,2704,4734
"6",20,6,0.3,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,13.7685625539567,6197,13021
"7",10,8,0.8,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,9.35356255395667,3314,8606
"8",40,36,0.9,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-2.46656255395667,450,1719
"9",20,8,0.4,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-4.63856255395667,1133,3891
"10",50,45,0.9,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-9.23856255395667,3985,8491
"11",70,21,0.3,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-4.55556255395667,2398,3808
"12",100,70,0.7,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-3.46656255395667,1943,2719
"13",60,30,0.5,1,1,0.0569311494202333,0.31436195727,0.747562553956667,0.491252985233333,0.78305388504,0.951407392466667,-5.74156255395667,2438,4994
