"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",500,100,0.5,0.6,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,7.17098245616667,3976,6251
"2",400,100,0.8,0.9,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,5.81198245616667,2232,4892
"3",500,200,0.6,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-3.91398245616667,1340,2994
"4",500,200,0.6,0.9,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-1.62698245616667,62,707
"5",500,100,0.8,0.9,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.83498245616667,915,915
"6",300,100,0.8,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,1.94698245616667,832,1027
"7",400,100,0.5,0.8,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-3.32898245616667,1828,2409
"8",500,200,0.7,0.8,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,6.11098245616667,3756,5191
"9",500,100,0.5,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-3.49598245616667,2320,2576
"10",500,300,0.9,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,8.49698245616667,1844,7577
"11",400,100,0.7,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-7.63598245616667,2502,6716
"12",500,200,0.4,0.5,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,7.49898245616667,3820,6579
"13",500,100,0.6,0.8,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,4.78398245616667,2165,3864
"14",500,100,0.6,0.9,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,4.93698245616667,2215,4017
"15",400,100,0.6,0.8,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-5.01798245616667,2475,4098
"16",300,100,0.7,0.9,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,5.73598245616667,3214,4816
"17",400,200,0.8,1,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,4.02798245616667,1655,3108
"18",500,100,0.4,0.7,1,0.601987648526667,0.217447260630207,0.5067759718,0.919982456166667,0.474098035166667,0.908973800706667,0.865117835446667,-4.27398245616667,1134,3354
